INTPTLAT,INTPTLON,geoid20_x,CT20,FIPS_census,tract,ShapeSTArea,ShapeSTLength,% Hispanic or Latino,% Not a Citizen,% Unemployed,Population Density (Per Sq. Mile),Median Household Income,Median Family Income,% Enrolled in School,% No Health Insurance Coverage,pop_below_100_pct,calfresh_per_100_fam_below_200f,mental_health_pct,chd_pct,snap_rate,spa,calfresh_per_100_families,Percent 65 years and over,lowaccess_count,denom_total_pop,lowaccess_li_count,lowaccess_seniors_count,lowaccess_pct
34.1358007,-118.4214241,143902,143902,6037143902,6037143902,27199022.83,34224.69368,17,3,9,3134,141534,187024,22,1,9,91,12,4,0,SPA 2 - San Fernando,9,17,185,3000,11,35,6
34.1358007,-118.4214241,143902,143902,6037143902,6037143902,27199022.83,34224.69368,17,3,9,3134,141534,187024,22,1,9,91,12,4,0,SPA 2 - San Fernando,9,17,185,3000,8,35,6
34.1379864,-118.4376485,141700,141700,6037141700,6037141700,34917644.27,31997.52776,7,6,16,2463,250001,250001,20,5,2,78,11,4,0,SPA 2 - San Fernando,3,0,22,3086,1,4,1
34.1379864,-118.4376485,141700,141700,6037141700,6037141700,34917644.27,31997.52776,7,6,16,2463,250001,250001,20,5,2,78,11,4,0,SPA 2 - San Fernando,3,0,22,3086,2,4,1
34.4029836,-118.5246277,920314,920314,6037920314,6037920314,121626131.2,52460.11127,29,12,8,772,133542,142583,37,3,13,51,15,4,11,SPA 2 - San Fernando,7,11,1342,2935,210,121,46
34.4029836,-118.5246277,920314,920314,6037920314,6037920314,121626131.2,52460.11127,29,12,8,772,133542,142583,37,3,13,51,15,4,11,SPA 2 - San Fernando,7,11,1233,2935,111,111,42
34.2182586,-118.1926525,460501,460501,6037460501,6037460501,80381884.79,61025.30796,5,6,7,1844,204125,250001,29,2,3,30,10,5,0,SPA 2 - San Fernando,2,19,1430,5351,130,292,27
34.2182586,-118.1926525,460501,460501,6037460501,6037460501,80381884.79,61025.30796,5,6,7,1844,204125,250001,29,2,3,30,10,5,0,SPA 2 - San Fernando,2,19,1389,5351,245,280,26
34.0660696,-118.4868492,262303,262303,6037262303,6037262303,28139675.05,29228.96268,5,8,2,2723,250001,250001,24,0,5,15,10,6,0,SPA 5 - West,1,27,1711,3290,149,436,52
34.0660696,-118.4868492,262303,262303,6037262303,6037262303,28139675.05,29228.96268,5,8,2,2723,250001,250001,24,0,5,15,10,6,0,SPA 5 - West,1,27,1711,3290,126,436,52
34.1388889,-118.4612098,141600,141600,6037141600,6037141600,42034369.17,37482.07991,10,2,5,2555,177031,250001,19,4,4,96,11,5,0,SPA 2 - San Fernando,4,0,736,4077,74,143,18
34.1388889,-118.4612098,141600,141600,6037141600,6037141600,42034369.17,37482.07991,10,2,5,2555,177031,250001,19,4,4,96,11,5,0,SPA 2 - San Fernando,4,0,823,4077,95,164,20
34.270047,-118.3813338,980021,980021,6037980021,6037980021,74757707.98,51403.14697,29,0,0,6,0,0,23,47,0,0,0,0,0,SPA 2 - San Fernando,14,0,23,33,0,0,70
34.270047,-118.3813338,980021,980021,6037980021,6037980021,74757707.98,51403.14697,29,0,0,6,0,0,23,47,0,0,0,0,0,SPA 2 - San Fernando,14,0,23,33,0,0,70
34.1016706,-118.3875192,194300,194300,6037194300,6037194300,26597779.07,35303.63697,10,7,4,2878,248173,250001,17,2,5,73,11,4,0,SPA 4 - Metro,4,0,1367,3029,93,182,45
34.1016706,-118.3875192,194300,194300,6037194300,6037194300,26597779.07,35303.63697,10,7,4,2878,248173,250001,17,2,5,73,11,4,0,SPA 4 - Metro,4,0,1367,3029,298,182,45
34.1114184,-118.3530199,194101,194101,6037194101,6037194101,27368995.71,33899.95232,8,10,13,3197,100893,157813,12,7,6,201,13,3,0,SPA 4 - Metro,21,18,774,3091,194,104,25
34.1114184,-118.3530199,194101,194101,6037194101,6037194101,27368995.71,33899.95232,8,10,13,3197,100893,157813,12,7,6,201,13,3,0,SPA 4 - Metro,21,18,435,3091,123,61,14
34.0376162,-117.7830815,403317,403317,6037403317,6037403317,45106832.85,38918.4455,34,7,4,3095,111029,123750,26,1,4,88,12,3,0,SPA 3 - San Gabriel,12,22,984,5087,156,98,19
34.0376162,-117.7830815,403317,403317,6037403317,6037403317,45106832.85,38918.4455,34,7,4,3095,111029,123750,26,1,4,88,12,3,0,SPA 3 - San Gabriel,12,22,1318,5087,230,135,26
34.1017341,-118.4698062,262200,262200,6037262200,6037262200,92227670.7,52227.52257,5,4,4,1323,185768,220060,29,0,2,407,10,5,0,SPA 5 - West,5,0,2439,4675,116,563,52
34.1017341,-118.4698062,262200,262200,6037262200,6037262200,92227670.7,52227.52257,5,4,4,1323,185768,220060,29,0,2,407,10,5,0,SPA 5 - West,5,0,4405,4675,290,916,94
34.1546148,-117.9217301,400603,400603,6037400603,6037400603,98883988.54,64948.46021,52,4,6,1410,94980,100304,27,3,5,134,14,3,2,SPA 3 - San Gabriel,17,12,1692,5248,369,117,32
34.1546148,-117.9217301,400603,400603,6037400603,6037400603,98883988.54,64948.46021,52,4,6,1410,94980,100304,27,3,5,134,14,3,2,SPA 3 - San Gabriel,17,12,1692,5248,300,117,32
34.0821097,-117.7665905,402200,402200,6037402200,6037402200,68457965.31,45687.76523,63,9,6,2884,88623,78029,21,6,11,99,14,5,7,SPA 3 - San Gabriel,22,0,504,6974,83,102,7
34.0821097,-117.7665905,402200,402200,6037402200,6037402200,68457965.31,45687.76523,63,9,6,2884,88623,78029,21,6,11,99,14,5,7,SPA 3 - San Gabriel,22,0,497,6974,107,101,7
33.8726125,-118.1125129,554406,554406,6037554406,6037554406,11876860.73,15944.13989,34,10,8,11476,84418,97604,30,3,16,102,15,5,8,SPA 7 - East,25,20,758,4875,150,92,16
34.0981939,-118.0327899,431501,431501,6037431501,6037431501,11174204.54,15337.40974,33,15,0,10247,59858,73750,20,5,15,59,12,6,2,SPA 3 - San Gabriel,24,24,26,4086,8,5,1
34.0981939,-118.0327899,431501,431501,6037431501,6037431501,11174204.54,15337.40974,33,15,0,10247,59858,73750,20,5,15,59,12,6,2,SPA 3 - San Gabriel,24,24,26,4086,10,5,1
33.9618209,-118.0198835,501700,501700,6037501700,6037501700,14986775.86,17080.8863,59,4,1,7245,112679,131940,24,4,5,110,13,5,5,SPA 7 - East,14,0,168,3695,5,35,5
33.9618209,-118.0198835,501700,501700,6037501700,6037501700,14986775.86,17080.8863,59,4,1,7245,112679,131940,24,4,5,110,13,5,5,SPA 7 - East,14,0,168,3695,24,35,5
34.0472694,-118.1133924,482600,482600,6037482600,6037482600,30618352.95,24716.64825,22,12,2,6084,102283,108413,21,3,7,71,11,6,0,SPA 3 - San Gabriel,18,0,1634,6864,367,535,24
34.0472694,-118.1133924,482600,482600,6037482600,6037482600,30618352.95,24716.64825,22,12,2,6084,102283,108413,21,3,7,71,11,6,0,SPA 3 - San Gabriel,18,0,1634,6864,198,535,24
34.6173553,-118.1947725,910210,910210,6037910210,6037910210,34109937.08,25228.43438,41,3,2,6263,125031,126793,33,6,3,134,14,3,1,SPA 1 - Antelope Valley,15,10,78,7103,15,4,1
34.6173553,-118.1947725,910210,910210,6037910210,6037910210,34109937.08,25228.43438,41,3,2,6263,125031,126793,33,6,3,134,14,3,1,SPA 1 - Antelope Valley,15,10,3900,7103,689,283,55
34.5516547,-118.0529587,910712,910712,6037910712,6037910712,22286649.98,19254.70955,69,16,6,4173,90147,90000,23,9,6,129,16,4,0,SPA 1 - Antelope Valley,38,15,8,2772,2,1,0
34.5516547,-118.0529587,910712,910712,6037910712,6037910712,22286649.98,19254.70955,69,16,6,4173,90147,90000,23,9,6,129,16,4,0,SPA 1 - Antelope Valley,38,15,8,2772,3,1,0
34.4533926,-118.5168986,920045,920045,6037920045,6037920045,20125039.83,19934.1207,26,2,6,6221,158571,173750,28,1,2,159,14,3,2,SPA 2 - San Fernando,6,12,14,4622,1,1,0
34.4533926,-118.5168986,920045,920045,6037920045,6037920045,20125039.83,19934.1207,26,2,6,6221,158571,173750,28,1,2,159,14,3,2,SPA 2 - San Fernando,6,12,905,4622,133,50,20
34.3909961,-118.4411237,920043,920043,6037920043,6037920043,201156446,67360.64228,33,6,6,1212,153500,167311,30,3,5,200,13,3,3,SPA 2 - San Fernando,10,8,2735,5711,273,169,48
34.3909961,-118.4411237,920043,920043,6037920043,6037920043,201156446,67360.64228,33,6,6,1212,153500,167311,30,3,5,200,13,3,3,SPA 2 - San Fernando,10,8,2735,5711,358,169,48
34.5287425,-118.0414407,910709,910709,6037910709,6037910709,155920559.2,61802.53761,52,5,8,299,106429,114938,23,12,5,106,16,6,5,SPA 1 - Antelope Valley,23,20,1555,1631,516,197,95
34.5287425,-118.0414407,910709,910709,6037910709,6037910709,155920559.2,61802.53761,52,5,8,299,106429,114938,23,12,5,106,16,6,5,SPA 1 - Antelope Valley,23,20,1555,1631,591,197,95
33.7818249,-118.3043625,293306,293306,6037293306,6037293306,6625296.97,11528.81179,32,6,13,9265,114833,122102,20,5,4,99,14,5,8,SPA 8 - South Bay,16,16,1117,2143,207,137,52
33.7818249,-118.3043625,293306,293306,6037293306,6037293306,6625296.97,11528.81179,32,6,13,9265,114833,122102,20,5,4,99,14,5,8,SPA 8 - South Bay,16,16,1117,2143,182,137,52
34.241882,-118.4049441,121210,121210,6037121210,6037121210,21817534.97,18371.98913,73,18,8,3788,71932,101250,25,13,3,256,15,4,6,SPA 2 - San Fernando,53,20,1134,3110,410,144,36
34.241882,-118.4049441,121210,121210,6037121210,6037121210,21817534.97,18371.98913,73,18,8,3788,71932,101250,25,13,3,256,15,4,6,SPA 2 - San Fernando,53,20,1134,3110,528,144,36
33.9612627,-117.9943139,500202,500202,6037500202,6037500202,68430807.85,41354.56301,43,7,6,1970,125341,175000,25,3,0,184,11,5,11,SPA 7 - East,8,23,1152,4935,22,272,23
33.9612627,-117.9943139,500202,500202,6037500202,6037500202,68430807.85,41354.56301,43,7,6,1970,125341,175000,25,3,0,184,11,5,11,SPA 7 - East,8,23,1152,4935,29,272,23
34.2147689,-118.4183782,122000,122000,6037122000,6037122000,35118997.76,30499.59222,42,10,8,4051,93454,107188,23,7,8,264,15,5,8,SPA 2 - San Fernando,52,0,7,5431,2,1,0
34.2147689,-118.4183782,122000,122000,6037122000,6037122000,35118997.76,30499.59222,42,10,8,4051,93454,107188,23,7,8,264,15,5,8,SPA 2 - San Fernando,52,0,7,5431,2,1,0
34.2143169,-118.3594491,122200,122200,6037122200,6037122200,18349521.77,19428.00162,78,19,3,5900,65255,64712,27,7,13,94,17,4,0,SPA 2 - San Fernando,39,0,1963,4141,832,129,47
34.2143169,-118.3594491,122200,122200,6037122200,6037122200,18349521.77,19428.00162,78,19,3,5900,65255,64712,27,7,13,94,17,4,0,SPA 2 - San Fernando,39,0,521,4141,200,44,13
34.2594737,-118.2929869,101110,101110,6037101110,6037101110,12295621.35,15083.85429,26,8,7,9100,68972,79615,21,4,11,202,16,5,0,SPA 2 - San Fernando,46,20,115,4731,37,12,2
34.2594737,-118.2929869,101110,101110,6037101110,6037101110,12295621.35,15083.85429,26,8,7,9100,68972,79615,21,4,11,202,16,5,0,SPA 2 - San Fernando,46,20,115,4731,44,12,2
34.2436235,-118.5775956,113303,113303,6037113303,6037113303,44083459.16,31068.55495,29,4,5,2390,108924,109826,19,4,8,149,13,5,7,SPA 2 - San Fernando,22,22,313,4027,84,89,8
34.2436235,-118.5775956,113303,113303,6037113303,6037113303,44083459.16,31068.55495,29,4,5,2390,108924,109826,19,4,8,149,13,5,7,SPA 2 - San Fernando,22,22,25,4027,8,0,1
34.3232264,-118.4294854,106020,106020,6037106020,6037106020,21718323.77,23226.0292,80,5,10,5894,115282,107986,25,17,18,107,15,4,0,SPA 2 - San Fernando,28,18,1726,5556,585,187,31
34.3232264,-118.4294854,106020,106020,6037106020,6037106020,21718323.77,23226.0292,80,5,10,5894,115282,107986,25,17,18,107,15,4,0,SPA 2 - San Fernando,28,18,590,5556,147,64,11
34.319137,-118.4095511,106111,106111,6037106111,6037106111,29992030.23,28008.80002,55,8,7,4536,124375,130588,26,8,5,136,14,4,0,SPA 2 - San Fernando,20,15,3109,3153,730,316,99
34.319137,-118.4095511,106111,106111,6037106111,6037106111,29992030.23,28008.80002,55,8,7,4536,124375,130588,26,8,5,136,14,4,0,SPA 2 - San Fernando,20,15,2634,3153,395,265,84
34.2394391,-118.5112304,115101,115101,6037115101,6037115101,41786208.75,26402.17723,21,4,6,3120,150280,175547,22,7,8,229,12,5,5,SPA 2 - San Fernando,15,24,132,5046,10,16,3
34.2394391,-118.5112304,115101,115101,6037115101,6037115101,41786208.75,26402.17723,21,4,6,3120,150280,175547,22,7,8,229,12,5,5,SPA 2 - San Fernando,15,24,132,5046,9,16,3
34.116659,-118.3650891,194102,194102,6037194102,6037194102,37710234.87,38288.1555,12,4,5,1842,127917,250001,15,5,11,63,12,5,0,SPA 4 - Metro,8,20,1502,3458,132,241,43
34.116659,-118.3650891,194102,194102,6037194102,6037194102,37710234.87,38288.1555,12,4,5,1842,127917,250001,15,5,11,63,12,5,0,SPA 4 - Metro,8,20,1502,3458,104,241,43
34.209876,-118.3492653,102105,102105,6037102105,6037102105,5303654.197,9962.251126,67,7,3,8462,92917,92135,22,5,10,143,16,5,0,SPA 2 - San Fernando,34,16,1731,1731,760,167,100
34.209876,-118.3492653,102105,102105,6037102105,6037102105,5303654.197,9962.251126,67,7,3,8462,92917,92135,22,5,10,143,16,5,0,SPA 2 - San Fernando,34,16,1666,1731,549,162,96
34.2900933,-118.374193,104124,104124,6037104124,6037104124,48221678.21,39589.71219,46,10,14,2316,76071,73125,23,9,9,92,15,4,2,SPA 2 - San Fernando,25,15,889,4174,41,123,21
34.2900933,-118.374193,104124,104124,6037104124,6037104124,48221678.21,39589.71219,46,10,14,2316,76071,73125,23,9,9,92,15,4,2,SPA 2 - San Fernando,25,15,889,4174,298,123,21
34.237491,-118.522646,115104,115104,6037115104,6037115104,10980251.07,20303.80299,22,18,11,10985,60682,122596,39,9,25,646,16,4,0,SPA 2 - San Fernando,38,11,2157,4444,977,101,49
34.237491,-118.522646,115104,115104,6037115104,6037115104,10980251.07,20303.80299,22,18,11,10985,60682,122596,39,9,25,646,16,4,0,SPA 2 - San Fernando,38,11,2157,4444,984,101,49
34.1453278,-118.6590622,800204,800204,6037800204,6037800204,86627959.77,58746.0635,10,3,8,1329,164833,240095,21,5,3,238,11,5,9,SPA 2 - San Fernando,9,27,652,6731,42,121,10
34.1453278,-118.6590622,800204,800204,6037800204,6037800204,86627959.77,58746.0635,10,3,8,1329,164833,240095,21,5,3,238,11,5,9,SPA 2 - San Fernando,9,27,922,6731,184,188,14
34.5769105,-118.07892,910602,910602,6037910602,6037910602,21530790.21,21298.21727,60,11,6,6307,48032,63454,31,5,24,88,19,5,10,SPA 1 - Antelope Valley,47,12,2055,3995,1236,149,51
34.5769105,-118.07892,910602,910602,6037910602,6037910602,21530790.21,21298.21727,60,11,6,6307,48032,63454,31,5,24,88,19,5,10,SPA 1 - Antelope Valley,47,12,2055,3995,1356,149,51
34.5646789,-118.1228242,910404,910404,6037910404,6037910404,27724821.84,20703.44898,56,8,11,4892,68301,68807,32,10,18,85,17,4,0,SPA 1 - Antelope Valley,40,8,832,4130,373,35,20
34.5646789,-118.1228242,910404,910404,6037910404,6037910404,27724821.84,20703.44898,56,8,11,4892,68301,68807,32,10,18,85,17,4,0,SPA 1 - Antelope Valley,40,8,832,4130,480,35,20
34.5503802,-118.1040712,910707,910707,6037910707,6037910707,72311493.21,35064.61149,67,6,9,1982,74096,66372,31,5,18,124,18,5,0,SPA 1 - Antelope Valley,48,10,846,4329,373,118,20
34.5503802,-118.1040712,910707,910707,6037910707,6037910707,72311493.21,35064.61149,67,6,9,1982,74096,66372,31,5,18,124,18,5,0,SPA 1 - Antelope Valley,48,10,846,4329,343,118,20
34.1661153,-118.6402345,137000,137000,6037137000,6037137000,32407951.16,32602.34688,13,3,8,4337,108224,130714,23,2,4,83,0,0,1,SPA 2 - San Fernando,10,0,271,2471,26,67,11
33.9583368,-118.4523916,278102,278102,6037278102,6037278102,18795856.12,30917.89433,13,3,5,4810,161774,250001,10,0,5,242,11,4,3,SPA 5 - West,6,25,2908,3158,247,432,92
33.9583368,-118.4523916,278102,278102,6037278102,6037278102,18795856.12,30917.89433,13,3,5,4810,161774,250001,10,0,5,242,11,4,3,SPA 5 - West,6,25,2908,3158,405,432,92
33.7902748,-118.2975505,294421,294421,6037294421,6037294421,7247758.885,16413.82519,67,25,3,10629,55881,52454,30,20,22,42,17,5,25,SPA 8 - South Bay,22,13,2382,2950,1493,210,81
33.7902748,-118.2975505,294421,294421,6037294421,6037294421,7247758.885,16413.82519,67,25,3,10629,55881,52454,30,20,22,42,17,5,25,SPA 8 - South Bay,22,13,2382,2950,1408,210,81
33.7411716,-118.3150067,296401,296401,6037296401,6037296401,10636314.97,14229.75531,28,5,6,8069,113981,116938,20,6,3,107,13,6,0,SPA 8 - South Bay,11,27,18,3191,2,3,1
33.7411716,-118.3150067,296401,296401,6037296401,6037296401,10636314.97,14229.75531,28,5,6,8069,113981,116938,20,6,3,107,13,6,0,SPA 8 - South Bay,11,27,18,3191,4,3,1
34.2428521,-118.2941612,101400,101400,6037101400,6037101400,67915323.06,42668.92899,25,8,8,1432,85945,100521,20,8,6,147,15,6,8,SPA 2 - San Fernando,34,0,323,3903,57,49,8
